Unidades en operacion de L-V,Unidades en operacion de S-D,Miles de km recorridos,Pasajeros transportados-total,month,year,ecovia,metro,metrobus,transmetro,Pasajeros transportados-tarifa completa,Pasajeros transportados-con descuento,Pasajeros transportados-con cortesia,Numero de rutas,Personal ocupado,Ingresos miles de pesos de pasajes,Miles de KWH consumido
257.0,231.0,1302.9,731.1,Enero,2021,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,636.1,Febrero,2021,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,803.7,Marzo,2021,0,0,1,0,,,,23,1276,,
257.0,231.0,1260.9,794.0,Abril,2021,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,831.6,Mayo,2021,0,0,1,0,,,,23,1276,,
257.0,231.0,1260.9,841.6,Junio,2021,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,858.1,Julio,2021,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,849.4,Agosto,2021,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,771.5,Septiembre,2021,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,836.4,Octubre,2021,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,879.8,Noviembre,2021,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,868.1,Diciembre,2021,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,824.0,Enero,2022,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,821.5,Febrero,2022,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,973.3,Marzo,2022,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,895.3,Abril,2022,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,954.5,Mayo,2022,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,941.4,Junio,2022,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,911.6,Julio,2022,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,980.2,Agosto,2022,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,942.8,Septiembre,2022,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,986.3,Octubre,2022,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,954.1,Noviembre,2022,0,0,1,0,,,,23,1276,,
257.0,231.0,1302.9,927.0,Diciembre,2022,0,0,1,0,,,,23,1276,,
455.0,385.0,1302.9,844.5,Enero,2023,0,0,1,0,,,,23,1276,,
455.0,385.0,1302.9,825.0,Febrero,2023,0,0,1,0,,,,23,1276,,
455.0,385.0,1302.9,856.6,Marzo,2023,0,0,1,0,,,,23,1276,,
440.0,372.0,1259.9,636.9,Abril,2023,0,0,1,0,,,,21,1237,,
400.0,338.0,1145.4,519.6,Mayo,2023,0,0,1,0,,,,21,1169,,
364.0,308.0,1042.3,492.8,Junio,2023,0,0,1,0,,,,21,1072,,
364.0,308.0,1042.3,453.8,Julio,2023,0,0,1,0,,,,21,1072,,
364.0,308.0,1042.3,453.9,Agosto,2023,0,0,1,0,,,,21,1072,,
364.0,308.0,1042.3,407.9,Septiembre,2023,0,0,1,0,,,,21,1047,,
364.0,308.0,1042.3,350.9,Octubre,2023,0,0,1,0,,,,21,1072,,
364.0,308.0,1042.3,342.6,Noviembre,2023,0,0,1,0,,,,21,1072,,
364.0,308.0,1042.3,349.2,Diciembre,2023,0,0,1,0,,,,21,1072,,
263.0,223.0,1042.3,325.7,Enero,2024,0,0,1,0,,,,11,765,,
252.0,213.0,1042.3,296.9,Febrero,2024,0,0,1,0,,,,11,734,,
252.0,213.0,1042.3,299.1,Marzo,2024,0,0,1,0,,,,11,734,,
42.0,36.0,1042.3,283.7,Abril,2024,0,0,1,0,,,,3,171,,
42.0,35.0,1042.3,198.3,Mayo,2024,0,0,1,0,,,,3,171,,
42.0,36.0,1042.3,75.9,Junio,2024,0,0,1,0,,,,3,171,,
42.0,36.0,1042.3,49.6,Julio,2024,0,0,1,0,,,,3,171,,
22.0,19.0,1042.3,19.7,Agosto,2024,0,0,1,0,,,,3,117,,
0.0,0.0,0.0,0.0,Septiembre,2024,0,0,1,0,,,,0,0,,
0.0,0.0,0.0,0.0,Octubre,2024,0,0,1,0,,,,0,0,,
86.0,63.0,467.9,2921.9,Enero,2020,0,0,0,1,,,,10,299,,
86.0,63.0,437.4,2817.7,Febrero,2020,0,0,0,1,,,,10,299,,
86.0,63.0,453.4,2375.6,Marzo,2020,0,0,0,1,,,,10,299,,
86.0,63.0,288.5,1162.0,Abril,2020,0,0,0,1,,,,10,299,,
57.0,46.0,239.0,1035.8,Mayo,2020,0,0,0,1,,,,10,299,,
57.0,46.0,234.7,1362.9,Junio,2020,0,0,0,1,,,,10,299,,
57.0,46.0,232.2,1350.0,Julio,2020,0,0,0,1,,,,10,299,,
57.0,46.0,235.5,1396.8,Agosto,2020,0,0,0,1,,,,10,299,,
45.0,32.0,230.7,1394.2,Septiembre,2020,0,0,0,1,,,,10,299,,
45.0,32.0,239.3,1642.3,Octubre,2020,0,0,0,1,,,,10,299,,
45.0,32.0,227.1,1542.2,Noviembre,2020,0,0,0,1,,,,10,299,,
45.0,32.0,234.6,1549.6,Diciembre,2020,0,0,0,1,,,,10,299,,
45.0,32.0,231.4,1391.1,Enero,2021,0,0,0,1,,,,10,299,,
45.0,32.0,212.1,1205.5,Febrero,2021,0,0,0,1,,,,10,299,,
45.0,32.0,239.1,1591.2,Marzo,2021,0,0,0,1,,,,10,299,,
45.0,32.0,228.4,1529.6,Abril,2021,0,0,0,1,,,,10,299,,
45.0,32.0,235.8,1558.3,Mayo,2021,0,0,0,1,,,,10,299,,
45.0,32.0,232.4,1565.6,Junio,2021,0,0,0,1,,,,10,299,,
45.0,32.0,235.8,1630.5,Julio,2021,0,0,0,1,,,,10,299,,
45.0,32.0,230.3,1538.4,Agosto,2021,0,0,0,1,,,,10,299,,
45.0,32.0,230.5,1583.8,Septiembre,2021,0,0,0,1,,,,10,299,,
45.0,32.0,230.5,1696.2,Octubre,2021,0,0,0,1,,,,10,299,,
45.0,32.0,282.6,1885.8,Noviembre,2021,0,0,0,1,,,,10,299,,
45.0,32.0,338.4,2000.5,Diciembre,2021,0,0,0,1,,,,10,299,,
84.0,71.0,421.7,1879.4,Enero,2022,0,0,0,1,,,,10,299,,
84.0,71.0,414.6,1821.4,Febrero,2022,0,0,0,1,,,,10,299,,
84.0,71.0,460.5,2251.1,Marzo,2022,0,0,0,1,,,,10,299,,
84.0,71.0,440.7,2131.2,Abril,2022,0,0,0,1,,,,10,299,,
84.0,71.0,457.3,2305.4,Mayo,2022,0,0,0,1,,,,10,299,,
84.0,71.0,445.2,2235.7,Junio,2022,0,0,0,1,,,,10,299,,
84.0,71.0,457.7,2280.7,Julio,2022,0,0,0,1,,,,10,299,,
84.0,71.0,459.8,2366.7,Agosto,2022,0,0,0,1,,,,10,299,,
84.0,71.0,445.4,2312.8,Septiembre,2022,0,0,0,1,,,,10,299,,
84.0,71.0,460.3,2467.1,Octubre,2022,0,0,0,1,,,,10,299,,
94.0,81.0,522.3,2468.5,Noviembre,2022,0,0,0,1,,,,11,322,,
107.0,93.0,618.7,2273.4,Diciembre,2022,0,0,0,1,,,,13,357,,
107.0,93.0,625.8,2521.5,Enero,2023,0,0,0,1,,,,14,357,,
129.0,109.0,660.5,2461.5,Febrero,2023,0,0,0,1,,,,14,429,,
148.0,123.0,806.5,2804.0,Marzo,2023,0,0,0,1,,,,18,453,,
196.0,164.0,959.9,2437.3,Abril,2023,0,0,0,1,,,,22,540,,
204.0,167.0,1103.0,3035.7,Mayo,2023,0,0,0,1,,,,25,596,,
204.0,186.0,1117.7,2744.5,Junio,2023,0,0,0,1,,,,25,618,,
209.0,200.0,1151.3,2856.8,Julio,2023,0,0,0,1,,,,25,631,,
222.0,197.0,1175.1,2601.4,Agosto,2023,0,0,0,1,,,,25,661,,
235.0,198.0,1192.0,2448.6,Septiembre,2023,0,0,0,1,,,,26,661,,
235.0,198.0,1241.1,3199.6,Octubre,2023,0,0,0,1,,,,26,661,,
236.0,199.0,1201.8,3109.0,Noviembre,2023,0,0,0,1,,,,27,664,,
236.0,200.0,1188.6,2423.6,Diciembre,2023,0,0,0,1,,,,29,660,,
218.0,167.0,1197.9,2571.9,Enero,2024,0,0,0,1,,,,28,583,,
229.0,216.0,1168.2,2961.8,Febrero,2024,0,0,0,1,,,,32,608,,
248.0,217.0,1264.9,2918.9,Marzo,2024,0,0,0,1,,,,32,636,,
250.0,217.0,1391.7,3211.3,Abril,2024,0,0,0,1,,,,32,656,,
251.0,217.0,1444.7,3557.7,Mayo,2024,0,0,0,1,,,,32,658,,
251.0,217.0,1373.8,2957.6,Junio,2024,0,0,0,1,,,,32,660,,
251.0,217.0,1475.8,3298.5,Julio,2024,0,0,0,1,,,,32,660,,
280.0,248.0,1460.5,3526.0,Agosto,2024,0,0,0,1,,,,32,752,,
280.0,248.0,1366.0,3334.3,Septiembre,2024,0,0,0,1,,,,32,746,,
280.0,248.0,1381.5,3363.5,Octubre,2024,0,0,0,1,,,,32,752,,
40.0,40.0,836.8,15220.4,Enero,2020,0,1,0,0,,,,,,40701.8,3206.3
40.0,40.0,785.8,15548.3,Febrero,2020,0,1,0,0,,,,,,41284.2,2973.3
40.0,40.0,814.0,12554.9,Marzo,2020,0,1,0,0,,,,,,33494.5,3148.5
40.0,40.0,663.6,5653.5,Abril,2020,0,1,0,0,,,,,,14374.5,2685.5
40.0,40.0,663.4,4933.5,Mayo,2020,0,1,0,0,,,,,,11983.8,2586.9
40.0,40.0,737.2,7208.1,Junio,2020,0,1,0,0,,,,,,16926.2,3174.5
40.0,40.0,730.1,7101.5,Julio,2020,0,1,0,0,,,,,,16576.4,3304.0
40.0,40.0,745.7,7656.0,Agosto,2020,0,1,0,0,,,,,,18240.3,3253.4
40.0,40.0,728.1,7874.7,Septiembre,2020,0,1,0,0,,,,,,18604.3,3065.6
40.0,40.0,759.3,8857.2,Octubre,2020,0,1,0,0,,,,,,20447.1,3170.2
40.0,40.0,742.3,8490.1,Noviembre,2020,0,1,0,0,,,,,,20644.8,2890.3
40.0,40.0,763.8,8777.1,Diciembre,2020,0,1,0,0,,,,,,22273.3,2946.2
40.0,40.0,766.4,7641.6,Enero,2021,0,1,0,0,,,,,,25082.1,2919.5
40.0,40.0,679.7,6874.3,Febrero,2021,0,1,0,0,,,,,,25000.2,2615.4
50.0,50.0,903.6,8950.8,Marzo,2021,0,1,0,0,,,,,,23381.5,3545.0
50.0,50.0,906.9,8573.9,Abril,2021,0,1,0,0,,,,,,22766.8,3256.7
50.0,50.0,923.0,9143.9,Mayo,2021,0,1,0,0,,,,,,24353.0,3146.7
50.0,50.0,872.4,9288.3,Junio,2021,0,1,0,0,,,,,,25620.1,3096.7
50.0,50.0,953.3,9684.0,Julio,2021,0,1,0,0,,,,,,25795.3,3136.4
50.0,50.0,896.5,9151.0,Agosto,2021,0,1,0,0,,,,,,24831.6,3113.3
50.0,50.0,911.6,9018.2,Septiembre,2021,0,1,0,0,,,,,,25267.3,3402.6
50.0,50.0,995.1,10000.0,Octubre,2021,0,1,0,0,,,,,,26818.2,3536.9
50.0,50.0,899.3,10429.8,Noviembre,2021,0,1,0,0,,,,,,28753.2,3676.9
50.0,50.0,969.7,10939.4,Diciembre,2021,0,1,0,0,,,,,,29640.6,3722.4
50.0,50.0,924.6,9349.3,Enero,2022,0,1,0,0,,,,,,25717.8,3661.9
50.0,50.0,906.7,9713.0,Febrero,2022,0,1,0,0,,,,,,25808.8,3227.1
50.0,50.0,961.9,12244.7,Marzo,2022,0,1,0,0,,,,,,33324.5,3741.0
50.0,50.0,964.2,11375.9,Abril,2022,0,1,0,0,,,,,,28267.3,3732.4
50.0,50.0,1005.5,12471.1,Mayo,2022,0,1,0,0,,,,,,33538.3,3905.8
50.0,50.0,982.6,11492.4,Junio,2022,0,1,0,0,,,,,,39665.9,3842.4
