Unidades en operacion de L-V,Unidades en operacion de S-D,Miles de km recorridos,Pasajeros transportados-total,month,year,ecovia,metro,metrobus,transmetro,Pasajeros transportados-tarifa completa,Pasajeros transportados-con descuento,Pasajeros transportados-con cortesia,Numero de rutas,Personal ocupado,Ingresos miles de pesos de pasajes,Miles de KWH consumido
38,22,"303,881.00","548,249.00",Mayo,2024,1,0,0,0,"520,104.00","28,109.00",36,-,-,-,-
35,21,"249,468.00","436,285.00",Junio,2024,1,0,0,0,"409,221.00","27,030.00",34,-,-,-,-
33,20,"263,719.00","483,504.00",Julio,2024,1,0,0,0,"453,546.00","29,941.00",17,-,-,-,-
34,21,"271,690.00","474,201.00",Agosto,2024,1,0,0,0,"450,979.00","23,210.00",12,-,-,-,-
38,22,"282,728.00","866,540.00",Septiembre,2024,1,0,0,0,"866,540.00",-,-,-,-,-,-
39,22,"311,375.00","1,066,216.00",Octubre,2024,1,0,0,0,"1,066,216.00",-,-,-,-,-,-
-,-,-,-,Noviembre,2024,1,0,0,0,-,-,-,-,-,-,-
-,-,-,-,Diciembre,2024,1,0,0,0,-,-,-,-,-,-,-
535,481,"2,714.30","1,254.30",Enero,2020,0,0,1,0,-,-,-,29,"1,276.00",-,-
535,481,"2,714.30","1,188.90",Febrero,2020,0,0,1,0,-,-,-,29,"1,276.00",-,-
535,481,"2,714.30","1,016.00",Marzo,2020,0,0,1,0,-,-,-,29,"1,276.00",-,-
535,481,"2,626.80",550.6,Abril,2020,0,0,1,0,-,-,-,29,"1,276.00",-,-
257,231,"1,302.90",477.4,Mayo,2020,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,260.90",648.7,Junio,2020,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",672.7,Julio,2020,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",701,Agosto,2020,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,260.90",716.4,Septiembre,2020,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",816.4,Octubre,2020,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,260.90",825.9,Noviembre,2020,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",805.2,Diciembre,2020,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",731.1,Enero,2021,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",636.1,Febrero,2021,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",803.7,Marzo,2021,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,260.90",794,Abril,2021,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",831.6,Mayo,2021,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,260.90",841.6,Junio,2021,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",858.1,Julio,2021,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",849.4,Agosto,2021,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",771.5,Septiembre,2021,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",836.4,Octubre,2021,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",879.8,Noviembre,2021,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",868.1,Diciembre,2021,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",824,Enero,2022,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",821.5,Febrero,2022,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",973.3,Marzo,2022,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",895.3,Abril,2022,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",954.5,Mayo,2022,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",941.4,Junio,2022,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",911.6,Julio,2022,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",980.2,Agosto,2022,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",942.8,Septiembre,2022,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",986.3,Octubre,2022,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",954.1,Noviembre,2022,0,0,1,0,-,-,-,23,"1,276.00",-,-
257,231,"1,302.90",927,Diciembre,2022,0,0,1,0,-,-,-,23,"1,276.00",-,-
455,385,"1,302.90",844.5,Enero,2023,0,0,1,0,-,-,-,23,"1,276.00",-,-
455,385,"1,302.90",825,Febrero,2023,0,0,1,0,-,-,-,23,"1,276.00",-,-
455,385,"1,302.90",856.6,Marzo,2023,0,0,1,0,-,-,-,23,"1,276.00",-,-
440,372,"1,259.90",636.9,Abril,2023,0,0,1,0,-,-,-,21,"1,237.00",-,-
400,338,"1,145.40",519.6,Mayo,2023,0,0,1,0,-,-,-,21,"1,169.00",-,-
364,308,"1,042.30",492.8,Junio,2023,0,0,1,0,-,-,-,21,"1,072.00",-,-
364,308,"1,042.30",453.8,Julio,2023,0,0,1,0,-,-,-,21,"1,072.00",-,-
364,308,"1,042.30",453.9,Agosto,2023,0,0,1,0,-,-,-,21,"1,072.00",-,-
364,308,"1,042.30",407.9,Septiembre,2023,0,0,1,0,-,-,-,21,"1,047.00",-,-
364,308,"1,042.30",350.9,Octubre,2023,0,0,1,0,-,-,-,21,"1,072.00",-,-
364,308,"1,042.30",342.6,Noviembre,2023,0,0,1,0,-,-,-,21,"1,072.00",-,-
364,308,"1,042.30",349.2,Diciembre,2023,0,0,1,0,-,-,-,21,"1,072.00",-,-
263,223,"1,042.30",325.7,Enero,2024,0,0,1,0,-,-,-,11,765,-,-
252,213,"1,042.30",296.9,Febrero,2024,0,0,1,0,-,-,-,11,734,-,-
252,213,"1,042.30",299.1,Marzo,2024,0,0,1,0,-,-,-,11,734,-,-
42,36,"1,042.30",283.7,Abril,2024,0,0,1,0,-,-,-,3,171,-,-
42,35,"1,042.30",198.3,Mayo,2024,0,0,1,0,-,-,-,3,171,-,-
42,36,"1,042.30",75.9,Junio,2024,0,0,1,0,-,-,-,3,171,-,-
42,36,"1,042.30",49.6,Julio,2024,0,0,1,0,-,-,-,3,171,-,-
22,19,"1,042.30",19.7,Agosto,2024,0,0,1,0,-,-,-,3,117,-,-
0,0,0,0,Septiembre,2024,0,0,1,0,-,-,-,0,0,-,-
0,0,0,0,Octubre,2024,0,0,1,0,-,-,-,0,0,-,-
-,-,-,-,Noviembre,2024,0,0,1,0,-,-,-,-,-,-,-
-,-,-,-,Diciembre,2024,0,0,1,0,-,-,-,-,-,-,-
86,63,467.9,"2,921.90",Enero,2020,0,0,0,1,-,-,-,10,299,-,-
86,63,437.4,"2,817.70",Febrero,2020,0,0,0,1,-,-,-,10,299,-,-
86,63,453.4,"2,375.60",Marzo,2020,0,0,0,1,-,-,-,10,299,-,-
86,63,288.5,"1,162.00",Abril,2020,0,0,0,1,-,-,-,10,299,-,-
57,46,239,"1,035.80",Mayo,2020,0,0,0,1,-,-,-,10,299,-,-
57,46,234.7,"1,362.90",Junio,2020,0,0,0,1,-,-,-,10,299,-,-
57,46,232.2,"1,350.00",Julio,2020,0,0,0,1,-,-,-,10,299,-,-
57,46,235.5,"1,396.80",Agosto,2020,0,0,0,1,-,-,-,10,299,-,-
45,32,230.7,"1,394.20",Septiembre,2020,0,0,0,1,-,-,-,10,299,-,-
45,32,239.3,"1,642.30",Octubre,2020,0,0,0,1,-,-,-,10,299,-,-
45,32,227.1,"1,542.20",Noviembre,2020,0,0,0,1,-,-,-,10,299,-,-
45,32,234.6,"1,549.60",Diciembre,2020,0,0,0,1,-,-,-,10,299,-,-
45,32,231.4,"1,391.10",Enero,2021,0,0,0,1,-,-,-,10,299,-,-
45,32,212.1,"1,205.50",Febrero,2021,0,0,0,1,-,-,-,10,299,-,-
45,32,239.1,"1,591.20",Marzo,2021,0,0,0,1,-,-,-,10,299,-,-
45,32,228.4,"1,529.60",Abril,2021,0,0,0,1,-,-,-,10,299,-,-
45,32,235.8,"1,558.30",Mayo,2021,0,0,0,1,-,-,-,10,299,-,-
45,32,232.4,"1,565.60",Junio,2021,0,0,0,1,-,-,-,10,299,-,-
45,32,235.8,"1,630.50",Julio,2021,0,0,0,1,-,-,-,10,299,-,-
45,32,230.3,"1,538.40",Agosto,2021,0,0,0,1,-,-,-,10,299,-,-
45,32,230.5,"1,583.80",Septiembre,2021,0,0,0,1,-,-,-,10,299,-,-
45,32,230.5,"1,696.20",Octubre,2021,0,0,0,1,-,-,-,10,299,-,-
45,32,282.6,"1,885.80",Noviembre,2021,0,0,0,1,-,-,-,10,299,-,-
45,32,338.4,"2,000.50",Diciembre,2021,0,0,0,1,-,-,-,10,299,-,-
84,71,421.7,"1,879.40",Enero,2022,0,0,0,1,-,-,-,10,299,-,-
84,71,414.6,"1,821.40",Febrero,2022,0,0,0,1,-,-,-,10,299,-,-
84,71,460.5,"2,251.10",Marzo,2022,0,0,0,1,-,-,-,10,299,-,-
84,71,440.7,"2,131.20",Abril,2022,0,0,0,1,-,-,-,10,299,-,-
84,71,457.3,"2,305.40",Mayo,2022,0,0,0,1,-,-,-,10,299,-,-
84,71,445.2,"2,235.70",Junio,2022,0,0,0,1,-,-,-,10,299,-,-
84,71,457.7,"2,280.70",Julio,2022,0,0,0,1,-,-,-,10,299,-,-
84,71,459.8,"2,366.70",Agosto,2022,0,0,0,1,-,-,-,10,299,-,-
84,71,445.4,"2,312.80",Septiembre,2022,0,0,0,1,-,-,-,10,299,-,-
84,71,460.3,"2,467.10",Octubre,2022,0,0,0,1,-,-,-,10,299,-,-
94,81,522.3,"2,468.50",Noviembre,2022,0,0,0,1,-,-,-,11,322,-,-
107,93,618.7,"2,273.40",Diciembre,2022,0,0,0,1,-,-,-,13,357,-,-
107,93,625.8,"2,521.50",Enero,2023,0,0,0,1,-,-,-,14,357,-,-
129,109,660.5,"2,461.50",Febrero,2023,0,0,0,1,-,-,-,14,429,-,-
148,123,806.5,"2,804.00",Marzo,2023,0,0,0,1,-,-,-,18,453,-,-
196,164,959.9,"2,437.30",Abril,2023,0,0,0,1,-,-,-,22,540,-,-
204,167,"1,103.00","3,035.70",Mayo,2023,0,0,0,1,-,-,-,25,596,-,-
204,186,"1,117.70","2,744.50",Junio,2023,0,0,0,1,-,-,-,25,618,-,-
209,200,"1,151.30","2,856.80",Julio,2023,0,0,0,1,-,-,-,25,631,-,-
